iso3c,country,income_group,adult_literacy,ctrl_corrup,edu_spend_gdp,gdp_pc_ppp,gini,gov_effect,gpi_sec,gpi_tert,inc_share_low20,pop_total,poverty_215,sec_completion,sec_enrol_gross,tert_enrol_gross,voice_account,work_age_share,youth_literacy,indicators_observed,overall_coverage
VCT,St. Vincent and the Grenadines,Upper middle income,0.0,0.9,0.7,1.0,0.0,0.9,0.4,1.0,0.0,1.0,0.0,1.0,0.7,0.8,0.9,1.0,0.0,12,0.6058823529411765
GRD,Grenada,Upper middle income,0.0,0.9,0.6,1.0,0.1,0.9,0.5,0.7,0.1,1.0,0.1,0.8,0.7,0.4,0.9,1.0,0.0,15,0.5705882352941177
TUV,Tuvalu,Upper middle income,0.1,0.9,0.4,0.9,0.0,0.9,0.6,0.9,0.0,1.0,0.0,0.9,0.9,0.1,0.9,1.0,0.2,14,0.5705882352941177
TKM,Turkmenistan,Upper middle income,0.1,0.9,0.6,1.0,0.0,0.9,0.4,0.6,0.0,1.0,0.0,0.6,0.6,0.6,0.9,1.0,0.1,14,0.5470588235294118
DMA,Dominica,Upper middle income,0.0,0.9,1.0,1.0,0.0,0.9,0.5,0.6,0.0,1.0,0.0,0.7,0.7,0.0,0.9,1.0,0.0,11,0.5411764705882354
BWA,Botswana,Upper middle income,0.0,0.9,0.6,1.0,0.1,0.9,0.2,0.9,0.1,1.0,0.1,0.1,0.2,0.9,0.9,1.0,0.0,15,0.5235294117647059
GAB,Gabon,Upper middle income,0.1,0.9,0.9,1.0,0.1,0.9,0.1,0.1,0.1,1.0,0.1,0.1,0.1,0.0,0.9,1.0,0.1,16,0.44117647058823534
IRQ,Iraq,Upper middle income,0.3,0.9,0.0,1.0,0.1,0.9,0.0,0.0,0.1,1.0,0.1,0.0,0.0,0.0,0.9,1.0,0.3,11,0.3882352941176471
GNQ,Equatorial Guinea,Upper middle income,0.0,0.9,0.0,1.0,0.1,0.9,0.0,0.1,0.1,1.0,0.1,0.1,0.0,0.0,0.9,1.0,0.0,11,0.3647058823529412
XKX,Kosovo,Upper middle income,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.8,1.0,0.8,0.0,0.0,0.0,0.0,1.0,0.0,6,
LBY,Libya,Upper middle income,0.0,0.9,0.0,1.0,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9,1.0,0.0,6,
BOL,Bolivia,Lower middle income,0.4,0.9,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9,1.0,0.9,16,0.8823529411764707
KGZ,Kyrgyz Republic,Lower middle income,0.0,0.9,0.9,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.0,15,0.8588235294117648
HND,Honduras,Lower middle income,0.7,0.9,0.9,1.0,0.7,0.9,0.9,1.0,0.7,1.0,0.7,0.6,0.9,0.6,0.9,1.0,0.7,17,0.8294117647058824
UZB,Uzbekistan,Lower middle income,0.6,0.9,0.9,1.0,0.4,0.9,1.0,1.0,0.4,1.0,0.4,1.0,1.0,1.0,0.9,1.0,0.6,17,0.8235294117647058
BGD,Bangladesh,Lower middle income,0.8,0.9,1.0,1.0,0.2,0.9,1.0,1.0,0.2,1.0,0.2,1.0,1.0,1.0,0.9,1.0,0.8,17,0.8176470588235294
PHL,Philippines,Lower middle income,0.3,0.9,1.0,1.0,0.4,0.9,1.0,1.0,0.4,1.0,0.4,1.0,1.0,1.0,0.9,1.0,0.5,17,0.8058823529411765
IND,India,Lower middle income,0.7,0.9,0.8,1.0,0.1,0.9,1.0,1.0,0.1,1.0,0.1,0.9,1.0,1.0,0.9,1.0,0.8,17,0.7764705882352941
LKA,Sri Lanka,Lower middle income,1.0,0.9,0.8,1.0,0.2,0.9,0.7,0.9,0.2,1.0,0.2,0.9,0.7,0.9,0.9,1.0,1.0,17,0.7764705882352941
CIV,Cote d'Ivoire,Lower middle income,0.3,0.9,1.0,1.0,0.3,0.9,1.0,1.0,0.3,1.0,0.3,1.0,1.0,0.9,0.9,1.0,0.3,17,0.7705882352941176
PAK,Pakistan,Lower middle income,0.4,0.9,0.9,1.0,0.3,0.9,0.9,1.0,0.3,1.0,0.3,0.9,0.9,1.0,0.9,1.0,0.4,17,0.7647058823529412
VNM,Viet Nam,Lower middle income,0.2,0.9,0.8,1.0,0.4,0.9,0.9,1.0,0.4,1.0,0.4,1.0,1.0,0.8,0.9,1.0,0.3,17,0.7588235294117647
LAO,Lao PDR,Lower middle income,0.3,0.9,0.9,1.0,0.2,0.9,1.0,1.0,0.2,1.0,0.2,1.0,1.0,0.9,0.9,1.0,0.4,17,0.7529411764705883
SEN,Senegal,Lower middle income,0.6,0.9,0.9,1.0,0.2,0.9,0.7,1.0,0.2,1.0,0.2,0.7,0.7,1.0,0.9,1.0,0.7,17,0.7411764705882353
TZA,Tanzania,Lower middle income,0.3,0.9,1.0,1.0,0.1,0.9,1.0,1.0,0.1,1.0,0.1,0.8,1.0,1.0,0.9,1.0,0.3,17,0.7294117647058824
NPL,Nepal,Lower middle income,0.3,0.9,1.0,1.0,0.1,0.9,0.9,1.0,0.1,1.0,0.1,0.9,0.9,1.0,0.9,1.0,0.3,17,0.723529411764706
BTN,Bhutan,Lower middle income,0.2,0.9,0.9,0.9,0.2,0.9,0.8,1.0,0.2,1.0,0.2,1.0,1.0,0.8,0.9,1.0,0.2,17,0.7117647058823531
LBN,Lebanon,Lower middle income,0.2,0.9,0.8,0.9,0.1,0.9,1.0,1.0,0.1,1.0,0.1,1.0,1.0,0.9,0.9,1.0,0.2,17,0.7058823529411766
EGY,"Egypt, Arab Rep.",Lower middle income,0.3,0.9,0.0,1.0,0.4,0.9,0.8,1.0,0.4,1.0,0.4,0.8,0.8,1.0,0.9,1.0,0.3,16,0.7000000000000001
GHA,Ghana,Lower middle income,0.3,0.9,0.8,1.0,0.1,0.9,0.8,1.0,0.1,1.0,0.1,0.8,0.9,1.0,0.9,1.0,0.3,17,0.7000000000000001
JOR,Jordan,Lower middle income,0.3,0.9,1.0,1.0,0.0,0.9,0.8,1.0,0.0,1.0,0.0,0.9,0.8,1.0,0.9,1.0,0.3,14,0.6941176470588236
BEN,Benin,Lower middle income,0.4,0.9,0.9,1.0,0.3,0.9,0.5,0.8,0.3,1.0,0.3,0.8,0.5,0.8,0.9,1.0,0.4,17,0.6882352941176472
NAM,Namibia,Lower middle income,0.3,0.9,0.9,1.0,0.1,0.9,0.4,1.0,0.1,1.0,0.1,1.0,1.0,0.8,0.9,1.0,0.3,17,0.6882352941176472
MAR,Morocco,Lower middle income,0.0,0.9,0.9,1.0,0.0,0.9,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.9,1.0,0.0,12,0.6823529411764707
KHM,Cambodia,Lower middle income,0.4,0.9,0.6,1.0,0.0,0.9,0.5,1.0,0.0,1.0,0.0,1.0,0.9,0.9,0.9,1.0,0.5,14,0.6764705882352942
CMR,Cameroon,Lower middle income,0.1,0.9,0.9,1.0,0.1,0.9,0.9,1.0,0.1,1.0,0.1,0.6,0.5,1.0,0.9,1.0,0.1,17,0.6529411764705884
