iso3c,country,income_group,year,gini,inc_share_low20,poverty_215,sec_enrol_gross,tert_enrol_gross,sec_completion,adult_literacy,youth_literacy,gpi_sec,gpi_tert,edu_spend_gdp,gdp_pc_ppp,pop_total,work_age_share,gov_effect,voice_account,ctrl_corrup
IDN,Indonesia,Upper middle income,2023,36.1,7.9,6.7,94.90998641422937,44.8813034886441,34.86686115754854,,,1.056993639392416,0.9843118425314552,1.27517088245674,13889.9749067297,281190067.0,68.0168202172248,0.58032637834549,0.138982817530632,-0.48687219619751
IDN,Indonesia,Upper middle income,2024,34.9,8.1,5.4,99.63985719741912,,33.51031669833336,,,,0.9822177731683444,,14470.4372020578,283487931.0,68.1136017534969,,,
THA,Thailand,Upper middle income,2015,36.0,7.5,0.1,100.0,45.713134717198,100.0,92.87000274658205,98.15000152587892,0.961480021476746,0.9305999875068665,3.86397622727286,18811.9975100064,70540795.0,71.5683231839936,0.238737538456917,-0.969038724899292,-0.555973410606384
THA,Thailand,Upper middle income,2016,36.7,7.3,0.1,100.0,49.3227291503798,100.0,91.9800033569336,97.48999786376952,0.995890021324158,0.9214400053024292,3.76761756770937,19370.6087810117,70859841.0,71.4840033899878,0.22570513188839,-1.022944688797,-0.451746016740799
THA,Thailand,Upper middle income,2017,36.4,7.3,0.1,89.78358871344483,47.427491541895,100.0,92.875,97.81499862670898,1.096919152483255,1.156880718101435,3.46532147640365,20094.6778762603,71160187.0,71.3970271044959,0.257845818996429,-1.04547691345215,-0.446126043796539
THA,Thailand,Upper middle income,2018,36.4,7.2,0.1,91.71326712462826,46.1667791174286,82.242398673325,93.7699966430664,98.13999938964844,1.103188744400832,1.160129526740179,3.19769395901619,20879.9027821449,71376079.0,71.2751569841428,0.254539996385574,-1.017458319664,-0.458226591348648
THA,Thailand,Upper middle income,2019,34.9,7.7,0.1,90.90767911439328,44.9880040072053,100.0,91.2699966430664,98.5199966430664,1.036808198010655,1.039003460801208,3.02221411183282,21277.8392684764,71522271.0,71.119813854904,0.260609537363052,-0.846085667610168,-0.47199535369873
THA,Thailand,Upper middle income,2020,35.0,7.5,0.1,92.5030453797532,42.5900878816865,100.0,91.2133305867513,98.40333048502605,1.033560985156567,1.048523269661967,3.15314171737183,19957.257140917,71641484.0,70.9348809059768,0.201812535524368,-0.809261918067932,-0.483811765909195
THA,Thailand,Upper middle income,2021,34.9,7.6,0.0,95.2157635814506,43.4690405127808,100.0,91.1566645304362,98.28666432698569,1.015415356259985,1.024921912243898,2.98212428478268,20242.7700035656,71727332.0,70.7171395974968,0.220056802034378,-0.789397776126862,-0.478870928287506
THA,Thailand,Upper middle income,2022,34.3,7.7,0.0,94.55267582876176,43.29484965617,100.0,91.09999847412108,98.16999816894533,1.05888855457306,1.162695004752573,2.61187022798634,20762.7952598527,71735329.0,70.4702497426338,0.127444162964821,-0.620351493358612,-0.452444344758987
THA,Thailand,Upper middle income,2023,33.5,7.9,0.0,99.91492979871622,45.4407811172674,100.0,,,,1.051222918301396,2.52122219628772,21191.4540309274,71702435.0,70.1920646070109,0.171705812215805,-0.450371354818344,-0.489050775766373
THA,Thailand,Upper middle income,2024,33.3,7.9,0.0,97.11724140060696,44.9845744019321,100.0,,,,0.9640372220733056,,21740.5403219261,71668011.0,69.887763454186,,,
BGD,Bangladesh,Lower middle income,2015,29.74375,8.86875,6.4625,59.4217414855957,15.5739926180902,47.57899856567383,65.13999938964844,87.88999938964844,1.11307096481323,1.189776956957771,1.87225417109978,5352.71133299566,159383179.0,63.9150578117155,-0.752009570598602,-0.512201607227325,-0.844677090644836
BGD,Bangladesh,Lower middle income,2016,32.4,8.6,19.5,64.1664546117285,17.3985207411042,50.43131989908811,72.76000213623047,92.23999786376952,1.10351002216339,1.199768793468512,1.28183996677399,5682.53553494306,160811932.0,64.3617117778247,-0.705847561359406,-0.584256231784821,-0.88751894235611
